PARAMETER,LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALLSKY_SFC_SW_DWN,27.75,81.25,5.07,4.88,4.92,4.75,4.9,4.96,4.97,4.87,4.73,5.07,4.87,4.78,4.92,4.7,4.89,4.87,4.78,4.83,4.74,4.71,4.65
ALLSKY_SFC_SW_DWN,27.75,81.75,5.07,4.88,4.92,4.75,4.9,4.96,4.97,4.87,4.73,5.07,4.87,4.78,4.92,4.7,4.89,4.87,4.78,4.83,4.74,4.71,4.65
ALLSKY_SFC_SW_DWN,27.75,82.25,5.15,4.91,4.97,4.89,4.98,5.04,5.04,4.9,4.82,5.16,4.95,4.9,5.01,4.78,4.98,4.9,4.84,4.96,4.9,4.84,4.69
ALLSKY_SFC_SW_DWN,27.75,82.75,5.15,4.91,4.97,4.89,4.98,5.04,5.04,4.9,4.82,5.16,4.95,4.9,5.01,4.78,4.98,4.9,4.84,4.96,4.9,4.84,4.69
ALLSKY_SFC_SW_DWN,27.75,83.25,5.21,4.99,4.89,4.91,4.88,4.97,5.0,4.8,4.84,5.12,4.92,4.88,5.02,4.81,4.94,4.82,4.77,4.93,4.85,4.79,4.62
ALLSKY_SFC_SW_DWN,27.75,83.75,5.21,4.99,4.89,4.91,4.88,4.97,5.0,4.8,4.84,5.12,4.92,4.88,5.02,4.81,4.94,4.82,4.77,4.93,4.85,4.79,4.62
ALLSKY_SFC_SW_DWN,27.75,84.25,5.17,4.91,4.75,4.87,4.77,4.91,4.87,4.72,4.81,5.03,4.89,4.82,5.0,4.78,4.9,4.78,4.72,4.9,4.82,4.77,4.56
ALLSKY_SFC_SW_DWN,27.75,84.75,5.17,4.91,4.75,4.87,4.77,4.91,4.87,4.72,4.81,5.03,4.89,4.82,5.0,4.78,4.9,4.78,4.72,4.9,4.82,4.77,4.56
ALLSKY_SFC_SW_DWN,27.75,85.25,5.14,4.76,4.68,4.78,4.62,4.82,4.79,4.67,4.78,4.96,4.91,4.76,5.05,4.81,4.91,4.7,4.66,4.83,4.71,4.71,4.5
ALLSKY_SFC_SW_DWN,27.75,85.75,5.14,4.76,4.68,4.78,4.62,4.82,4.79,4.67,4.78,4.96,4.91,4.76,5.05,4.81,4.91,4.7,4.66,4.83,4.71,4.71,4.5
ALLSKY_SFC_SW_DWN,27.75,86.25,5.28,4.64,4.43,4.43,4.36,4.56,4.52,4.41,4.52,4.76,4.72,4.49,4.82,4.57,4.67,4.42,4.46,4.53,4.41,4.41,4.25
ALLSKY_SFC_SW_DWN,27.75,86.75,5.28,4.64,4.43,4.43,4.36,4.56,4.52,4.41,4.52,4.76,4.72,4.49,4.82,4.57,4.67,4.42,4.46,4.53,4.41,4.41,4.25
ALLSKY_SFC_SW_DWN,27.75,87.25,5.09,4.37,4.26,4.17,4.08,4.31,4.29,4.24,4.23,4.46,4.42,4.25,4.51,4.34,4.38,4.2,4.23,4.28,4.14,4.14,4.04
ALLSKY_SFC_SW_DWN,27.75,87.75,5.09,4.37,4.26,4.17,4.08,4.31,4.29,4.24,4.23,4.46,4.42,4.25,4.51,4.34,4.38,4.2,4.23,4.28,4.14,4.14,4.04
ALLSKY_SFC_SW_DWN,27.75,88.25,4.96,4.18,4.08,3.9,3.86,4.03,4.08,4.03,3.94,4.14,4.08,4.02,4.17,4.06,4.1,3.93,3.99,4.14,4.04,3.99,3.9
ALLSKY_SFC_SW_DWN,28.25,79.75,5.1,4.81,4.76,4.54,4.77,4.83,4.89,4.74,4.54,4.94,4.62,4.62,4.76,4.57,4.75,4.71,4.67,4.7,4.56,4.58,4.59
ALLSKY_SFC_SW_DWN,28.25,80.25,5.17,4.7,4.77,4.63,4.8,4.83,4.84,4.67,4.54,4.93,4.66,4.6,4.73,4.53,4.72,4.65,4.6,4.73,4.63,4.65,4.58
ALLSKY_SFC_SW_DWN,28.25,80.75,5.17,4.7,4.77,4.63,4.8,4.83,4.84,4.67,4.54,4.93,4.66,4.6,4.73,4.53,4.72,4.65,4.6,4.73,4.63,4.65,4.58
ALLSKY_SFC_SW_DWN,28.25,81.25,5.4,4.59,4.63,4.65,4.72,4.73,4.71,4.58,4.51,4.81,4.66,4.6,4.7,4.45,4.71,4.56,4.55,4.67,4.65,4.6,4.52
ALLSKY_SFC_SW_DWN,28.25,81.75,5.4,4.59,4.63,4.65,4.72,4.73,4.71,4.58,4.51,4.81,4.66,4.6,4.7,4.45,4.71,4.56,4.55,4.67,4.65,4.6,4.52
ALLSKY_SFC_SW_DWN,28.25,82.25,5.31,4.61,4.56,4.74,4.73,4.72,4.69,4.69,4.72,5.01,4.93,4.72,4.88,4.59,4.95,4.76,4.71,4.74,4.73,4.64,4.56
ALLSKY_SFC_SW_DWN,28.25,82.75,5.31,4.61,4.56,4.74,4.73,4.72,4.69,4.69,4.72,5.01,4.93,4.72,4.88,4.59,4.95,4.76,4.71,4.74,4.73,4.64,4.56
ALLSKY_SFC_SW_DWN,28.25,83.25,5.14,4.75,4.52,4.6,4.56,4.55,4.59,4.57,4.62,4.9,4.88,4.63,4.79,4.54,4.76,4.6,4.66,4.61,4.57,4.53,4.45
ALLSKY_SFC_SW_DWN,28.25,83.75,5.14,4.75,4.52,4.6,4.56,4.55,4.59,4.57,4.62,4.9,4.88,4.63,4.79,4.54,4.76,4.6,4.66,4.61,4.57,4.53,4.45
ALLSKY_SFC_SW_DWN,28.25,84.25,5.09,4.75,4.45,4.6,4.51,4.43,4.57,4.45,4.53,4.74,4.7,4.44,4.66,4.41,4.56,4.44,4.54,4.61,4.52,4.49,4.43
ALLSKY_SFC_SW_DWN,28.25,84.75,5.09,4.75,4.45,4.6,4.51,4.43,4.57,4.45,4.53,4.74,4.7,4.44,4.66,4.41,4.56,4.44,4.54,4.61,4.52,4.49,4.43
